,PnL_Baseline,PnL_VariantA,PnL_VariantB
2024-07-15,5238.24674052499,5877.774404527095,6435.310226784456
2024-07-16,418.32078614404907,209.16039307202453,247.97623766094557
2024-07-17,1901.0685781797451,2851.6028672696175,4249.021987265522
2024-07-18,19448.282170612056,16937.22266505162,17715.623257182677
2024-07-19,1113.961483315491,985.5740050914849,809.9216299746595
2024-07-22,-2678.7811028230176,-2175.500318842106,-1984.2323791883857
2024-07-23,261.7569882034822,387.43199793320275,298.79899317441476
2024-07-24,2924.0673276412926,4434.724732681835,5621.4748587946615
2024-07-25,-485.63258489005,-120.76837741392,121.12955928202655
2024-07-26,4000.341301804837,5671.0702899287835,4745.383226807739
2024-07-29,10090.363266425737,11907.899651008014,10215.407444786095
2024-07-30,7493.308671457366,8345.333987870614,7187.193977851688
2024-07-31,-27.027000903735278,-13.513500451867639,-14.63464667163256
2024-08-01,7175.554500668605,9021.59575082619,8561.99402692637
2024-08-02,1182.8457769066351,1659.7698434562972,1493.17202104288
2024-08-05,60.1690830496149,90.25362457442235,146.13828219543265
2024-08-06,5477.385241798299,8044.231495094081,8131.812092092232
2024-08-07,20727.84877666691,22712.566114593774,30066.9013530293
2024-08-08,0.0,0.0,0.0
2024-08-09,-265.90996570889973,817.6192711558042,1604.821682425952
2024-08-12,2723.503976175022,2299.041105767662,2057.5586630572902
2024-08-13,-591.7492726886175,-295.8746363443087,-238.43533023700437
2024-08-14,7806.382566235386,9958.336297862043,8385.93142898897
2024-08-15,-2081.222509073069,-1876.6767930664416,-1646.6135024919436
2024-08-16,-876.254901813781,-752.4986843483092,-650.5709977949884
2024-08-19,299.373148763178,396.5060753406098,660.7011942226065
2024-08-20,553.0826910470312,1018.6488022969886,923.859207624488
2024-08-21,-1861.7337328854258,-1323.2717711956248,-1286.5898191722076
2024-08-22,4624.650552711258,4517.628000748945,5320.430801175673
2024-08-23,-541.2126870646964,-216.3932182507566,-273.98585143174654
2024-08-26,793.5995564492573,882.8658896660745,1002.6972462911589
2024-08-27,-91.7430289635912,-137.6145434453868,-143.4745418662476
2024-08-28,1207.8843159254957,1370.532895769353,1142.0827251739893
2024-08-29,42.86937519780744,186.85069800241754,91.09876262283494
2024-08-30,2468.644097227321,2666.469120915528,2889.478909100073
2024-09-02,0.0,0.0,0.0
2024-09-03,362.2543130755995,543.3814696133992,511.18200078086346
2024-09-04,-15.63385873992317,-7.816929369961585,-25.599121239312296
2024-09-05,509.3800216262057,254.69001081310284,383.68356218713
