Ticker,Pool,Threshold,Events,Win Rate,Avg Fade Return
HIMS,Asset,0.02,171,0.5672514619883041,0.006336547477867946
HOOD,Asset,0.02,140,0.5071428571428571,0.0017019374321574528
IBM,Asset,0.02,48,0.3958333333333333,-0.0023377985578672965
IONQ,Asset,0.02,228,0.6052631578947368,0.00578691466686818
IREN,Asset,0.02,279,0.5555555555555556,0.003780448354145964
KOSS,Toxic,0.02,440,0.7,0.015411492891048876
KTOS,Asset,0.02,171,0.5497076023391813,0.0020838233571725444
LCID,Toxic,0.02,168,0.5714285714285714,0.002193488809081116
LEU,Asset,0.02,455,0.6505494505494506,0.010365022437782902
LRCX,Asset,0.02,192,0.4427083333333333,-0.002935598065556704
LTBR,Asset,0.02,544,0.6691176470588235,0.016741236135252018
LUMN,Asset,0.02,127,0.5118110236220472,-5.0232891834941755e-05
MARA,Toxic,0.02,721,0.6019417475728155,0.008025174246368668
MCD,Asset,0.02,30,0.4666666666666667,-0.0015001420564649134
MGK,Asset,0.02,39,0.48717948717948717,0.0013585382795913848
MP,Asset,0.02,219,0.5662100456621004,0.00515373316704744
MRVL,Asset,0.02,248,0.5080645161290323,0.0021642387912549263
MSFT,Asset,0.02,71,0.5211267605633803,-0.00037242538422552267
MU,Asset,0.02,270,0.46296296296296297,-0.0023474476925904506
NET,Asset,0.02,166,0.5240963855421686,0.0033906873169449897
NLR,Asset,0.02,48,0.5625,0.004887813561723099
NVDA,Asset,0.02,234,0.4444444444444444,-0.0020100855724386516
NVO,Asset,0.02,197,0.5279187817258884,0.0007809978154341302
NVTS,Asset,0.02,192,0.546875,-0.0016295679027190635
OKLO,Asset,0.02,121,0.5785123966942148,0.000298785028371824
ON,Asset,0.02,214,0.48130841121495327,-0.004559631407144839
ONDS,Asset,0.02,251,0.5936254980079682,0.0115172688336539
OPEN,Toxic,0.02,284,0.5704225352112676,0.005899141759565291
ORCL,Asset,0.02,73,0.6027397260273972,0.005062010008828944
OSCR,Asset,0.02,105,0.4666666666666667,0.0007693901533992858
PANW,Asset,0.02,124,0.5,-0.00021378115903741206
PLTR,Asset,0.02,170,0.5647058823529412,0.0020544704683603103
POWI,Asset,0.02,113,0.48672566371681414,-0.0033426335725028904
PSNY,Toxic,0.02,135,0.5703703703703704,0.008505288369466818
PTON,Toxic,0.02,170,0.4647058823529412,-0.0014111788348244406
QBTS,Asset,0.02,269,0.6245353159851301,0.007792416473616153
QCOM,Asset,0.02,120,0.5083333333333333,-9.569443685915266e-05
REAL,Toxic,0.02,234,0.5042735042735043,-0.0001070143795045809
REMX,Asset,0.02,221,0.34841628959276016,-0.00427468035135746
RENT,Toxic,0.02,168,0.5714285714285714,0.008625936771237918
RIOT,Toxic,0.02,624,0.5737179487179487,0.0034105917812957487
RXRX,Asset,0.02,170,0.5235294117647059,0.0026503177908975095
SHOP,Asset,0.02,214,0.5373831775700935,0.0027238859353784024
SIVR,Asset,0.02,155,0.4645161290322581,-0.0006165078023276864
SMR,Asset,0.02,194,0.5927835051546392,0.007772004151382841
SOFI,Asset,0.02,174,0.5459770114942529,0.0035568611098304136
SOUN,Asset,0.02,212,0.5943396226415094,0.00923647954023886
SPOT,Asset,0.02,125,0.552,0.0028082783598884758
STX,Asset,0.02,109,0.46788990825688076,0.0025515658410775444
TMDX,Asset,0.02,133,0.5488721804511278,0.001150348450628811
TSLA,Asset,0.02,296,0.5304054054054054,2.192916328584362e-05
TSM,Asset,0.02,205,0.5121951219512195,0.0014240845781721522
TTD,Asset,0.02,207,0.45893719806763283,-0.007500175129790739
U,Asset,0.02,178,0.5224719101123596,0.005735836539516344
UAMY,Asset,0.02,739,0.5886332882273342,0.020765047751184706
UBER,Asset,0.02,130,0.47692307692307695,-0.0031783622712942797
UNH,Asset,0.02,55,0.5272727272727272,-0.0007817287954169662
UPST,Toxic,0.02,223,0.49327354260089684,-0.0036331225427686234
UUUU,Asset,0.02,358,0.5754189944134078,0.006859663660789854
V,Asset,0.02,48,0.4375,-0.0023833701861183066
VOO,Asset,0.02,23,0.43478260869565216,0.0007755441268296713
VST,Asset,0.02,95,0.45263157894736844,-0.0030363975975045733
WWR,Asset,0.02,552,0.6956521739130435,0.01620524481863165
ABAT,Asset,0.025,538,0.6449814126394052,0.019391117045087888
ABNB,Asset,0.025,49,0.4897959183673469,0.0004802198990350222
ACHR,Asset,0.025,145,0.5448275862068965,-0.0013435362212574963
ADBE,Asset,0.025,56,0.5714285714285714,0.0023092684533572794
AFRM,Toxic,0.025,149,0.5100671140939598,-0.004355533061224522
AMC,Toxic,0.025,198,0.5959595959595959,0.0026089235814942425
AMD,Asset,0.025,185,0.4972972972972973,-0.002294655949092025
AMZN,Asset,0.025,58,0.5517241379310345,0.004820375551424069
ANET,Asset,0.025,82,0.4146341463414634,-0.00302953742648631
APP,Asset,0.025,98,0.5204081632653061,0.006389890787752157
BB,Toxic,0.025,104,0.5288461538461539,0.001622782242993384
